,condition_concept_id,chi2,p_value
1356,4152384,41.33362278158723,1.2834223153202897e-10
700,193326,40.26978014434995,2.2120431530410813e-10
668,4336254,39.68699642036066,2.981037535842115e-10
244,4200056,39.56842413448912,3.1676380127839086e-10
916,45768812,39.275559175303066,3.6801922745682537e-10
1145,372328,38.039810120181116,6.931577612716021e-10
70,140648,36.67799360135831,1.393435911701579e-09
69,379805,36.13964438741165,1.8367193364354748e-09
1097,133810,35.75178112900123,2.241269689537311e-09
79,439297,35.030111905399544,3.2464588695512124e-09
1542,439254,34.58223779149517,4.086178810597469e-09
694,28060,34.492818647485535,4.278268627472133e-09
140,4079750,33.94519959201142,5.668637280145092e-09
1957,4307956,33.45762836073307,7.283354708314469e-09
315,435515,32.8379844051261,1.0016830131854482e-08
1101,4067069,32.73956937877853,1.0537021383996658e-08
818,4298026,32.72202847065595,1.0632538815755005e-08
961,444375,32.575183612158504,1.146696046336493e-08
190,375415,32.39658987375317,1.2570687881006789e-08
1089,376966,31.604900818786984,1.8895213123210332e-08
814,319041,31.53851144322247,1.9552374464787623e-08
899,4014295,31.306937317615954,2.2029106533270558e-08
388,440424,31.218689320926668,2.3053589702479092e-08
801,4174262,30.73162262751866,2.9629673943374186e-08
74,195562,30.591191919218836,3.1853656783084115e-08
1805,198964,30.57611516862973,3.210215212213788e-08
95,4110815,30.116748391544,4.06802712664301e-08
376,257004,29.826248819986766,4.7255056183593796e-08
404,435796,29.743082547479734,4.9326324960663276e-08
454,4154290,29.527295977434967,5.513472613598558e-08
1118,43531003,29.152143572046754,6.691167314433804e-08
1814,199075,29.1511032525299,6.69476108917103e-08
387,437584,28.29893025556297,1.0395341699696377e-07
1222,4111921,28.08447301098645,1.1613387170052295e-07
512,4245252,27.39948541964784,1.6547526386329092e-07
337,4261842,27.324293158099934,1.720363985857373e-07
698,132412,27.27121885323139,1.7682393658631645e-07
721,313459,27.196388898457897,1.838016530424081e-07
606,372448,26.79878667326421,2.257790513887824e-07
1391,37396726,26.411469364861794,2.758973653029283e-07
446,135930,25.552662789553906,4.3047157065077403e-07
673,45768450,25.258809028757497,5.013008948780609e-07
246,75860,25.23811892348891,5.067074806025275e-07
1038,373474,25.086829292413082,5.480591447344501e-07
793,40405599,24.92227501433413,5.968876093579623e-07
640,139099,24.70929655008743,6.666184731820279e-07
1446,192450,24.395366730503856,7.845716006605961e-07
360,256451,24.362884913085765,7.979125459121856e-07
587,439007,24.18886513250694,8.733576260160793e-07
359,3655355,24.092141929586038,9.1834284947734e-07
787,45770891,23.65939705615357,1.1498306250693142e-06
659,444459,23.617671607752257,1.1750344747144908e-06
757,4042728,23.56038726611235,1.2105415156306173e-06
53,373478,23.513860944148412,1.2401708030924321e-06
915,443919,23.282840067218167,1.3984211936596885e-06
1185,375281,23.232752360073786,1.4353192123752664e-06
6,194133,23.10500066138366,1.5339124815258951e-06
1550,4328079,22.995842089345636,1.6235215489570723e-06
1333,42536696,22.87319085895735,1.7304872595949272e-06
510,381591,22.850015180411496,1.7514794531263892e-06
649,4141454,22.739210542045427,1.8554296557284252e-06
1019,42538119,22.701160273869498,1.8925355960221214e-06
2102,261889,22.46808027078438,2.136647887980534e-06
