,condition_concept_id,n_people
333,4330445,10637
334,4236484,10621
335,40481042,10568
336,40481896,10564
337,132393,10555
338,432436,10522
339,374034,10499
340,79061,10494
341,4224741,10488
342,81175,10455
343,4131963,10380
344,195083,10375
345,201620,10361
346,46273463,10301
347,379805,10281
348,4218017,10269
349,321318,10215
350,319844,10186
351,42873170,10092
352,378425,10071
353,257315,10029
354,441259,9981
355,4111409,9951
356,195401,9916
357,45763854,9877
358,444100,9860
359,135893,9834
360,4195085,9665
361,4215402,9654
362,4280726,9611
363,4308509,9529
364,4103295,9460
365,314059,9443
366,26823,9424
367,372409,9404
368,440029,9363
369,4089462,9342
370,442306,9311
371,4096682,9303
372,312934,9296
373,4041285,9291
374,78619,9168
375,432590,9137
376,77074,9055
377,321588,9045
378,137682,9031
379,141253,9026
380,73754,9019
381,36713918,9011
382,434056,9000
383,440417,8959
384,40480603,8919
385,4049623,8915
386,4306267,8893
387,78236,8874
388,193322,8847
389,36684319,8841
390,4275359,8839
391,141941,8818
392,4245252,8787
393,4152351,8781
394,44782719,8740
395,321882,8734
396,4177862,8712
397,4110961,8691
398,24609,8679
399,194686,8673
400,4152347,8650
401,4103749,8645
402,134159,8585
403,195588,8574
404,4213271,8528
405,444044,8507
406,4028387,8485
407,435220,8474
408,4285898,8396
409,4195572,8389
410,314131,8353
411,257012,8336
412,45757363,8335
413,434004,8324
414,4042728,8315
415,259848,8290
416,440329,8282
417,197675,8253
418,132706,8245
419,80809,8200
420,4301699,8120
421,4299417,8074
422,435524,8071
423,134765,8069
424,376965,8064
425,44782733,8063
426,4297894,8039
427,435511,8019
428,432895,8004
429,314379,7966
430,4106357,7934
431,45763855,7902
432,4155040,7844
433,315286,7838
434,433440,7804
435,432738,7784
436,81878,7755
437,4155909,7704
438,4008220,7685
439,4155034,7675
440,78273,7654
441,438878,7654
442,435093,7648
443,44784621,7641
444,4000609,7635
445,196456,7596
446,375545,7572
447,4155910,7490
448,4119307,7489
449,137809,7435
450,436665,7426
451,316998,7419
452,43531003,7418
453,42538119,7386
454,380701,7385
455,443524,7362
456,4150125,7340
457,77079,7295
458,75576,7286
459,201078,7272
460,432585,7259
461,198263,7249
462,321314,7243
463,141960,7237
464,443563,7227
465,4271013,7213
466,380733,7186
467,433753,7094
468,75036,7090
469,256439,7064
470,4170770,7047
471,43530727,7020
472,4009705,7002
473,257683,6992
474,137548,6987
475,435243,6971
476,379019,6967
477,141375,6947
478,135333,6940
479,78505,6935
480,4153380,6930
481,136497,6928
482,75650,6925
483,376337,6925
484,45769207,6918
485,439407,6909
486,40482301,6888
487,4345578,6884
488,436785,6872
489,4147829,6860
490,4196636,6835
491,376707,6829
492,434657,6827
493,4213540,6822
494,78472,6817
495,433811,6809
496,134438,6807
497,4171919,6761
498,37309626,6747
499,36713926,6726
500,374313,6716
501,4115991,6706
502,133834,6682
503,46273719,6657
504,80813,6643
505,4172970,6619
506,436677,6607
507,261326,6600
508,4275889,6588
509,4022073,6561
510,4280354,6544
511,4151527,6514
512,321887,6507
513,45757435,6507
514,380094,6485
515,4150062,6485
516,4158911,6483
517,4179873,6448
518,4305080,6443
519,4115169,6420
520,4224926,6408
521,4096196,6398
522,193518,6388
523,4013597,6378
524,4140164,6358
525,4204199,6333
526,4169905,6331
527,133810,6318
528,29735,6310
529,201337,6310
530,36713126,6306
531,443432,6288
532,141323,6286
533,4116166,6280
534,4128329,6278
535,4115170,6275
536,192359,6233
537,435839,6230
538,261600,6220
539,73553,6215
540,77734,6207
541,762296,6181
542,4115027,6180
543,4125590,6177
544,138525,6168
545,318169,6148
546,437312,6148
547,4338120,6133
548,443465,6119
549,374366,6113
550,320744,6113
551,378756,6084
552,443257,6077
553,199075,6073
554,75941,6064
555,36684613,6052
556,4102183,6049
557,4232691,6034
558,315558,6012
559,4298026,6008
560,4307981,5993
561,4225273,5965
562,4339214,5944
563,3661408,5934
564,134441,5896
565,4057044,5860
566,441830,5837
567,435510,5835
568,36712860,5835
569,4242574,5786
570,437116,5784
571,321042,5783
572,134898,5746
573,436238,5745
574,195771,5721
575,74132,5684
576,434494,5681
577,193782,5681
578,193020,5629
579,4308394,5627
580,74635,5618
581,437703,5609
582,140641,5593
583,40480429,5592
584,4113008,5555
585,4024561,5553
586,4056713,5532
587,40482237,5505
588,377910,5500
589,76565,5498
590,4150981,5463
591,43530690,5461
592,40326053,5459
593,30753,5439
594,137989,5430
595,441969,5428
596,72418,5420
597,195007,5399
598,40480002,5394
599,4146581,5372
600,4112752,5365
601,3655355,5359
602,76240,5358
603,375393,5343
604,40482267,5323
605,442111,5319
606,4111921,5314
607,40487064,5304
608,4115173,5296
609,4288544,5288
610,4152933,5251
611,435642,5230
612,4145825,5214
613,195977,5204
614,4112026,5200
615,438134,5193
616,4058350,5182
617,4111412,5178
618,40405599,5139
619,4084229,5134
620,36684676,5128
621,257907,5126
622,36717006,5112
623,4208390,5108
624,444444,5108
625,137345,5089
626,4141454,5027
627,381295,5014
628,141104,5014
629,26727,4986
630,435788,4984
631,197006,4984
632,442019,4944
633,4151985,4914
634,43530807,4909
635,194984,4907
636,36712982,4887
637,373474,4864
638,443200,4862
639,373852,4849
640,4111709,4832
641,37395564,4822
642,137351,4806
643,436339,4804
644,437758,4793
645,4258683,4791
646,4101747,4750
647,4068482,4714
648,372324,4713
649,36713107,4694
650,4204781,4689
651,134460,4674
652,4002818,4664
653,45770886,4658
654,4168700,4651
655,138387,4644
