,condition_concept_id,chi2,p_value,p_adj
179,4110815,220.5790847725541,6.761937843383021e-50,9.906238940556126e-48
100,4170554,217.20749167540816,3.6772079608072546e-49,5.295802719149024e-47
260,24134,214.4374547728613,1.4783793618527005e-48,2.0936315729437325e-46
493,443597,213.93298190509262,1.9047481663465067e-48,2.6532205195813552e-46
281,80180,212.750077705195,3.450602436538024e-48,4.728994984397353e-46
832,438485,212.16012270586566,4.640870634887495e-48,6.2592821880379434e-46
1054,4067069,209.36498562970763,1.8897698580128658e-47,2.5089647630523937e-45
583,443782,207.17189447045777,5.68719042137143e-47,7.434470309291236e-45
267,4134121,206.0543383962459,9.970924353497457e-47,1.2836809732070892e-44
323,435515,205.36020873717257,1.4131541484702283e-46,1.792174746201721e-44
336,765131,199.84848518609414,2.2536988463226106e-45,2.816129279000474e-43
52,198803,199.20364011776587,3.1161412868117296e-45,3.8373699295709085e-43
551,139099,199.00601659416571,3.44146979770291e-45,4.1774526958688036e-43
265,443769,197.55980714738268,7.117911328657057e-45,8.51843557177451e-43
327,4268911,192.9013837993087,7.396839570047214e-44,8.729298031484887e-42
543,46271022,189.30159285468233,4.516267679814684e-43,5.256811845943201e-41
1708,4152384,189.0801334630505,5.048013828572582e-43,5.796347770456922e-41
54,35624213,186.50552602560094,1.841347009889616e-42,2.086123405737609e-40
71,193326,185.08370551514557,3.7629147201944315e-42,4.2070376812489584e-40
787,40405599,184.41753951241913,5.259630209923509e-42,5.804036090093514e-40
285,44782429,181.56527560289234,2.2063029315815164e-41,2.403455898672839e-39
1315,192450,179.72999096546607,5.551041607123316e-41,5.97053171338314e-39
307,75909,178.6913812423967,9.357299354054262e-41,9.938621576424883e-39
291,436222,177.31992403884692,1.8647190831899863e-40,1.956113339489545e-38
77,433595,177.2716255100471,1.910556182174972e-40,1.979755595114724e-38
426,4346975,174.00889666645622,9.85465865284033e-40,1.008855838231136e-37
242,442752,172.17921886549502,2.4729802338631648e-39,2.5015372675161086e-37
329,380378,171.96005226895943,2.761121540617042e-39,2.7601470271321185e-37
845,4288310,170.79740569184014,4.954587002761573e-39,4.895247181681987e-37
114,254761,168.32815532978384,1.715237920273607e-38,1.6752157021338895e-36
48,4061844,167.26985058502544,2.920693705915474e-38,2.820128911268612e-36
1274,4059015,165.76677446474298,6.22031063019751e-38,5.938649373571713e-36
121,40304526,165.1674273417277,8.408837439093952e-38,7.838166375776872e-36
