condition_concept_id,,chi2,p_value,p_adj,,,Article Mentions
196523,Diarrhea,1306.6083363602388,4.141334922126558e-286,6.62103884780603e-284,,,
443782,Tremor,1305.3877485437492,7.62764141040369e-286,1.201006811165381e-283,,,
435515,Hypo-osmolality and or hyponatremia,1292.4128380894924,5.03526210121818e-283,7.809916978486468e-281,,,
444101,Hypertensive heart failure,1290.5998160695744,1.2474385851442513e-282,1.9063796730616263e-280,,,
37396726,Cognitive communication disorder,1279.8855956992045,2.6569903883128073e-280,4.00165856744155e-278,,,
46271022,Chronic kidney disease,1227.461459543415,6.564682364102383e-269,9.745739875393138e-267,,,
4152384,Non-rheumatic aortic sclerosis,1221.0048798347714,1.6610609033653902e-267,2.4312316771511459e-265,,,
377091,Seizure,1201.1602013928796,3.413147902487158e-263,4.926310139256465e-261,,,
43530742,Paralytic syndrome on one side of the body as late effect of cerebrovascular accident,1199.2781727445056,8.75331129668515e-263,1.2460878218513981e-260,,,
372892,Metabolic encephalopathy,1189.7690561559027,1.0204143384868369e-260,1.4329926764263798e-258,,,
437584,Ataxia,1184.7436321997811,1.2616854668539532e-259,1.7481913828728377e-257,,,
762294,Pain in right foot,1177.1483996142222,5.644547458910456e-258,7.718175946447034e-256,,,
31317,Dysphagia,1149.5940369329928,5.496895909676317e-252,7.418667830306011e-250,,,
4200238,Onychogryposis,1136.90385,3.1489284333118694e-249,4.195341574227814e-247,,,
4261842,Sick sinus syndrome,1132.863350169695,2.3785808376591473e-248,3.1288876031587164e-246,,,
434613,Generalized anxiety disorder,1128.139437931643,2.529345748346555e-247,3.285620127102175e-245,,,
4336254,Dystrophia unguium,1126.6360839654797,5.367183159419398e-247,6.8858972089736275e-245,,,
4193704,Type 2 diabetes mellitus without complication,1122.8836547796982,3.509936233870722e-246,4.448202114924944e-244,,,
4077577,Moderate recurrent major depression,1095.585515,3.0084971048489853e-240,3.7667833630832115e-238,,,
378427,Tear film insufficiency,1076.6357291695163,3.9538948875537995e-236,4.891532818030843e-234,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11152850/
376065,Disorder of nervous system due to type 2 diabetes mellitus,1069.457927007034,1.4358692754704248e-234,1.75547688361043e-232,,,
765131,Pain in left foot,1055.3466220554656,1.675809794201526e-231,2.0250017885281694e-229,,,
437246,Vitamin B deficiency,1040.4271763387378,2.931075757659157e-228,3.501119456734938e-226,,,
42536696,Contusion of head,1031.0971193158136,3.1259028901294857e-226,3.691407140252911e-224,,,
435262,Primary open angle glaucoma,1026.9757006883826,2.4592245543609463e-225,2.871490063923478e-223,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11278361/
37017432,Polyneuropathy due to type 2 diabetes mellitus,1014.8706905268549,1.051810383789203e-222,1.2144903898152665e-220,,,
440424,Aphasia,1014.7828476525178,1.099084418675332e-222,1.2551302504257198e-220,,,
378253,Headache,1012.080100097388,4.2511184355057573e-222,4.801915519758243e-220,,,
4090207,Senile asthenia,1000.6761145635021,1.2802742449096369e-219,1.4306032207635425e-217,,,
201826,Type 2 diabetes mellitus,991.1148028443697,1.533190389032937e-217,1.6949909066840725e-215,,,
436659,Iron deficiency anemia,990.4830029967139,2.1034290688724954e-217,2.3009299877603128e-215,,,
317002,Low blood pressure,975.6045949809464,3.6058948963411645e-214,3.9033812252893104e-212,,,
4288310,Carotid artery obstruction,952.8496510548359,3.186401577272798e-209,3.4137201227854546e-207,,,
35624213,Secondary cataract,946.0977748740021,9.353900279625228e-208,9.918952214884221e-206,,,
436962,Insomnia,940.0097764,1.969625540786245e-206,2.0675099616010766e-204,,,
4110815,"Sensorineural hearing loss, bilateral",933.3935647231244,5.402643523070995e-205,5.614427149175378e-203,,,
381591,Cerebrovascular disease,919.2365988919357,6.457493884370016e-202,6.644185786769625e-200,,,
4170554,Hip pain,915.6190640377924,3.94871782311687e-201,4.0230466291990697e-199,,,
380378,Epilepsy,878.8929080730909,3.804602255599168e-193,3.8385851106977235e-191,,,
194081,Acute cystitis,863.5484007336061,8.244087661291625e-190,8.237746055398323e-188,,,
437833,Hypokalemia,862.7995455917785,1.1993401792115647e-189,1.1870041087968172e-187,,,https://pubmed.ncbi.nlm.nih.gov/30775974/
443729,Peripheral circulatory disorder due to type 2 diabetes mellitus,856.7996246,2.4172439996657363e-188,2.3698112872194652e-186,,,
134736,Backache,853.3898824125966,1.3322952266099327e-187,1.2939450462551795e-185,,,
192450,Retention of urine,848.1058668414863,1.876529660148447e-186,1.8056385396539503e-184,,,
4169095,Bradycardia,837.8964756537932,3.1111446990005754e-184,2.966148230459998e-182,,,
432899,Normal pressure hydrocephalus,837.8188962325808,3.2343456191711085e-184,3.055574515856924e-182,,,
255848,Pneumonia,830.6451373,1.173305889637454e-182,1.0984680004605786e-180,,,
373995,Delirium,813.4782361360182,6.334032662478416e-179,5.8770774489710445e-177,,,
